id,code,title,description,price,image,source_url
1,"PROD-00001","A ESPADA SELVAGEM DE CON N.22","A ESPADA SELVAGEM DE CON N.22","Consulte","https://thumbnails.meuspedidos.com.br/9CAyaOWoE8YWhmGeqzykn_h3grg=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/d3cba7f8-119a-11ef-a951-1a13f4f3a32a.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
2,"PROD-00002","O VERÃO EM QUE HIKARU MORREU - 05 [REB]","O VERÃO EM QUE HIKARU MORREU - 05 [REB]","Consulte","https://thumbnails.meuspedidos.com.br/j-mPkzQF866_yuKrdvlIZSNIfn8=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/988074da-eb29-11ef-9e36-2a856f41baa0.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
3,"PROD-00003","SOLO LEVELING - 06 [REB]","SOLO LEVELING - 06 [REB]","Consulte","https://thumbnails.meuspedidos.com.br/Q3l1yClcyIjDn4uZSt-MzlF8W88=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/8cbf06f2-3692-11f0-9b5f-32c7a3eebbfc.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
4,"PROD-00004","10 COISAS PARA FAZER ANTES DOS 40 - 01","10 COISAS PARA FAZER ANTES DOS 40 - 01","Consulte","https://thumbnails.meuspedidos.com.br/S86wsJpNRrRIwrkr8xZ6A47j-FQ=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/3f15c0ec-e497-11ee-b6a7-e2b250ff01a0.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
5,"PROD-00005","100 BALAS: IRMAO LONO -  EDICAO DE LUXO","100 BALAS: IRMAO LONO -  EDICAO DE LUXO","Consulte","https://thumbnails.meuspedidos.com.br/9OcC1B4PHEKW_CRdhTQT0BCYuyo=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/45809a7e-d817-11ee-b3a2-6efcfa6dd7bd.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
6,"PROD-00006","20TH CENTURY BOYS ED. DEFINITIVA - 04","20TH CENTURY BOYS ED. DEFINITIVA - 04","Consulte","https://thumbnails.meuspedidos.com.br/9hMVPLXN75jqzNMhf2dcf9DaTxI=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/e6f10866-9031-11f0-9754-9a60b14b6cd5.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
7,"PROD-00007","20TH CENTURY BOYS ED. DEFINITIVA - 2","20TH CENTURY BOYS ED. DEFINITIVA - 2","Consulte","https://thumbnails.meuspedidos.com.br/Vhu57nWDwZRJwgzoEimjpU8iSik=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/958e0d96-1941-11f0-a707-ceedc1648097.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
8,"PROD-00008","20TH CENTURY BOYS ED. DEFINITIVA - 3","20TH CENTURY BOYS ED. DEFINITIVA - 3","Consulte","https://thumbnails.meuspedidos.com.br/8rBRuAE6joHg5dARp6FXTp8clAA=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/c49eb480-642a-11f0-855d-8e3a9156bfaa.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
9,"PROD-00009","8 BILHOES DE GENIOS N.1","8 BILHOES DE GENIOS N.1","Consulte","https://thumbnails.meuspedidos.com.br/o-DM2xSYNesBtDrA-UnJ3RGiOno=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/1f8b64a0-069a-11ef-92f0-cafd48a576cd.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
10,"PROD-00010","A BELA CASA DE PRAIA VOL.01","A BELA CASA DE PRAIA VOL.01","Consulte","https://thumbnails.meuspedidos.com.br/f5uccndBAcUFLurpNY2dosQSUsE=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/091dbbc2-98c6-11f0-b7db-860b112daa7f.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
11,"PROD-00011","A BELA CASA DO LAGO N.2","A BELA CASA DO LAGO N.2","Consulte","https://thumbnails.meuspedidos.com.br/npKxMHuADjaB0Ij6tP2j2w666-s=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/5d03434a-da9c-11ee-acb0-3226a44a89fc.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
12,"PROD-00012","A BRIGADA DOS ENCAPOTADOS N.1","A BRIGADA DOS ENCAPOTADOS N.1","Consulte","https://thumbnails.meuspedidos.com.br/Ux-Yb6-o-HkQH1zvwOCUZah5z-o=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/8e25e3b2-22d9-11ef-89ea-7a76248a948f.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
13,"PROD-00013","A CANCAO DA FENIX: ECO","A CANCAO DA FENIX: ECO","Consulte","https://thumbnails.meuspedidos.com.br/m6-0VIgL-jHRxCuaNMzFkfcIVbQ=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/915d2a48-d817-11ee-9371-e2a33adec5cd.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
14,"PROD-00014","A CASA ESTRANHA - 02","A CASA ESTRANHA - 02","Consulte","https://thumbnails.meuspedidos.com.br/wnQGOFmusTpzTQFv8mdMGWBq_DI=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/c581589e-642a-11f0-9174-0aba59c16e94.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
15,"PROD-00015","A DEUSA DA VINGANÇA","A DEUSA DA VINGANÇA","Consulte","https://thumbnails.meuspedidos.com.br/STZW2q7hhqYCOK8DJImw2Agg1j0=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/28c277a0-a4ac-11f0-a72e-eecb83d78201.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
